gene_symbol	ensembl_gene_id	total_nominations	first_nomination_year	nominating_teams	input_data	validation_details	pharos_class	in_snapshot	our_rank	overall_score	genetic_score	mutation_freq	expr_log2fc	prot_log2fc	chronos	frac_dependent	loeuf	druggability_score	tractability_modalities	max_disease_phase	n_disease_trials	n_publications	velocity	tissue_tau	target_class	is_common_essential	surface_or_secreted	winner_snapshot	rwr_snapshot	winner_global	winner_global_rank	string_degree	axes_with_data
SERPINA1	ENSG00000197249	1	2022	IUSM-Purdue	RNA	not prioritized for experimental validation	Tbio	yes	3007	0.06839442549407687			-0.776				1.1901133649798687	0.3	3			370	0.3162162162162162	0.7839		false	true			0.130342	1157	332	6
SERPINA3	ENSG00000196136	1	2018	Mayo-UFL-ISB	Protein	not prioritized for experimental validation	Tbio	yes	1907	0.10311094006445495			1.475				1.6068195826180438	0.3	3			369	0.3794037940379404	0.5774	Unclassified protein	false	true	0.0738	0.0291	0.050851	4573	136	6
SERPINI1	ENSG00000163536	1	2020	ASU	Genetics; RNA; Protein	validation studies ongoing	Tbio	yes	4414	0.03626027854122716			-1.241				0.6789007395751369	0.3	1			72	0.3472222222222222	0.5961		false	true			0.007341	14870	21	6
SGIP1	ENSG00000118473	1	2018	Emory	Protein	validation studies planned	Tbio	yes	5999	0.01949458829695845			-1.359				0.4632323161351731	0.3	2			49	0.2653061224489796	0.5164		false	false			0.046339	5103	104	6
SGK1	ENSG00000118515	1	2023	ASU	RNA	Validation studies ongoing 	Tchem	yes	1960	0.10043665382743529			0.51				0.5615635199037832	0.3	3			257	0.35797665369649806	0.3629	Protein Kinase	false	true	0.0912	0.0073	0.063040	3568	161	6
SGPL1	ENSG00000166224	1	2018	Duke	Genetics; Metabolomics	validation studies ongoing	Tchem	yes	3648	0.05167423130854376			-0.688				0.7060843205486794	0.3	3			58	0.2413793103448276	0.2976	Lyase	false	false			0.033046	6990	89	6
SGPP1	ENSG00000126821	1	2018	Duke	Genetics; Metabolomics	validation studies ongoing	Tbio	yes	6278	0.0036957985468470188			-1.24				0.916963003033511	0.3	2			270	0.4888888888888889	0.2913		false	true			0.030057	7524	51	6
SH3GLB2	ENSG00000148341	1	2018	Emory	Protein	not prioritized for experimental validation	Tbio	yes	709	0.29460164472541733			-1.256				0.70295375137668	0.3	1			20	0.2	0.1698		false	false	0.0185	0.0027	0.014264	11589	37	6
SIDT2	ENSG00000149577	1	2023	Duke	Metabolomics; Genetics	Not prioritized for experimental validation 	Tbio	yes	6279	0.005800350497134903			0.204				0.7275770407581355	0.3	2			18	0.2777777777777778	0.2396		false	true			0.015768	11097	48	6
SIGLEC1	ENSG00000088827	1	2018	Mayo-UFL-ISB	RNA	not prioritized for experimental validation	Tbio	yes	6280	0.005398214512280442			0.53				1.0306408651403092	0.3	1			55	0.23636363636363636	0.5903		false	true			0.064572	3468	182	6
