gene	winner_norm	winner_raw	rank	degree
GOLGA8O	0.002956	2.581684e+0	18036	10
H0Y626_HUMAN	0.002954	2.580128e+0	18037	9
C16ORF46	0.002952	2.577813e+0	18038	10
DNPH1	0.002950	2.576228e+0	18039	10
SPATA31A1	0.002950	2.575830e+0	18040	9
MS4A18	0.002947	2.573201e+0	18041	8
STKLD1	0.002946	2.573026e+0	18042	9
ZNF177	0.002946	2.572589e+0	18043	8
ZNF283	0.002945	2.571847e+0	18044	9
SLC38A11	0.002944	2.570674e+0	18045	9
ASIC5	0.002942	2.569355e+0	18046	6
VILL	0.002941	2.568403e+0	18047	9
ZNF613	0.002938	2.565359e+0	18048	9
C5ORF58	0.002937	2.565251e+0	18049	10
ABCA5	0.002936	2.563735e+0	18050	8
GOLGA6C	0.002936	2.563626e+0	18051	8
ZBTB41	0.002935	2.563151e+0	18052	10
INAFM1	0.002933	2.561547e+0	18053	10
TEX45	0.002933	2.561520e+0	18054	10
GOLGA8S	0.002932	2.560706e+0	18055	8
JMJD7	0.002930	2.558904e+0	18056	9
PCDHGA10	0.002927	2.556365e+0	18057	9
SEC14L6	0.002922	2.551558e+0	18058	10
TTC24	0.002922	2.551345e+0	18059	10
CCDC85A	0.002920	2.550351e+0	18060	9
GPR173	0.002920	2.549722e+0	18061	8
MT4	0.002919	2.549284e+0	18062	9
MTRNR2L7	0.002919	2.548792e+0	18063	6
VWA5B1	0.002917	2.547571e+0	18064	9
ZNF254	0.002917	2.547228e+0	18065	10
ZDHHC18	0.002917	2.547199e+0	18066	10
HYI	0.002913	2.543652e+0	18067	9
LYZL4	0.002911	2.541935e+0	18068	10
SLCO1B7	0.002910	2.540995e+0	18069	10
LGALS16	0.002908	2.539918e+0	18070	10
MTMR11	0.002907	2.538599e+0	18071	10
SNED1	0.002907	2.538521e+0	18072	9
SPATA6L	0.002906	2.537912e+0	18073	10
DYTN	0.002905	2.537331e+0	18074	9
TRIM49B	0.002904	2.536017e+0	18075	9
LURAP1L	0.002902	2.534631e+0	18076	10
TIGD2	0.002902	2.534427e+0	18077	10
GVQW2	0.002902	2.533869e+0	18078	8
SLITRK4	0.002901	2.533530e+0	18079	9
KANK3	0.002901	2.533100e+0	18080	10
PMIS2	0.002900	2.532813e+0	18081	10
MFSD14C	0.002900	2.532463e+0	18082	8
TMEM158	0.002898	2.530718e+0	18083	10
PCP4L1	0.002898	2.530484e+0	18084	10
GOLGA8R	0.002897	2.530033e+0	18085	9
RASL12	0.002895	2.527810e+0	18086	9
ZNF84	0.002894	2.527661e+0	18087	9
ZNF155	0.002894	2.527635e+0	18088	9
USP17L27	0.002894	2.527199e+0	18089	4
USP17L30	0.002894	2.527199e+0	18090	4
USP17L29	0.002894	2.527199e+0	18091	4
USP17L28	0.002894	2.527199e+0	18092	4
ZFP3	0.002892	2.525725e+0	18093	8
MSANTD3	0.002891	2.524690e+0	18094	9
NPIPB8	0.002890	2.524117e+0	18095	9
RTL5	0.002889	2.523308e+0	18096	9
PHGR1	0.002889	2.523237e+0	18097	9
LOC102724250	0.002886	2.519937e+0	18098	9
MACC1	0.002884	2.518917e+0	18099	7
ZNF488	0.002883	2.517846e+0	18100	9
CCDC163	0.002883	2.517446e+0	18101	9
C22ORF31	0.002882	2.517054e+0	18102	9
SERPINB10	0.002881	2.516335e+0	18103	9
ATF7-NPFF	0.002880	2.515401e+0	18104	9
FAM229A	0.002878	2.513112e+0	18105	9
ENSP00000486623	0.002876	2.511717e+0	18106	9
MAP9	0.002874	2.509627e+0	18107	9
CPAMD8	0.002874	2.509508e+0	18108	10
CRYBG2	0.002874	2.509441e+0	18109	9
TMEM241	0.002873	2.509319e+0	18110	10
TMEM8B	0.002873	2.508857e+0	18111	8
TMEM234	0.002868	2.504963e+0	18112	10
C17ORF58	0.002867	2.503462e+0	18113	9
KRTAP5-8	0.002866	2.502730e+0	18114	10
KIAA0100	0.002865	2.502131e+0	18115	10
FAM90A7P	0.002865	2.501847e+0	18116	8
U3KQV3_HUMAN	0.002864	2.500780e+0	18117	9
ZNF600	0.002862	2.499146e+0	18118	9
HMX2	0.002861	2.498599e+0	18119	8
FAM86B1	0.002859	2.496971e+0	18120	9
ZNF324	0.002858	2.496185e+0	18121	8
ARHGAP40	0.002858	2.495752e+0	18122	9
THSD7B	0.002855	2.493603e+0	18123	10
MAMDC2	0.002854	2.492366e+0	18124	10
MAGEB17	0.002851	2.490087e+0	18125	10
PRPH	0.002851	2.489912e+0	18126	6
PCDHA6	0.002851	2.489893e+0	18127	5
ZNF251	0.002850	2.488667e+0	18128	9
